GeneSym,EntrezID,A2.A0CM,A2.A0D2,A2.A0EQ,A2.A0EV,A2.A0EX,A2.A0EY,A2.A0SW,A2.A0SX,A2.A0T3,A2.A0T6,A2.A0YC,A2.A0YD,A2.A0YF,A2.A0YG,A2.A0YM,A7.A0CE,A7.A0CJ,A7.A13F,A8.A06N,A8.A06Z,A8.A076,A8.A079,A8.A08Z,A8.A09G,AN.A04A,AN.A0AJ,AN.A0AL,AN.A0AM,AN.A0FK,AN.A0FL,AO.A03O,AO.A0J6,AO.A0J9,AO.A0JC,AO.A0JE,AO.A0JJ,AO.A0JL,AO.A0JM,AO.A126,AO.A12B,AO.A12D,AO.A12E,AO.A12F,AR.A0TR,AR.A0TT,AR.A0TV,AR.A0TX,AR.A0U4,AR.A1AP,AR.A1AS,AR.A1AV,AR.A1AW,BH.A0AV,BH.A0BV,BH.A0C1,BH.A0C7,BH.A0DD,BH.A0DG,BH.A0E1,BH.A0E9,BH.A18N,BH.A18Q,BH.A18U,C8.A12L,C8.A12T,C8.A12U,C8.A12V,C8.A12Z,C8.A130,C8.A131,C8.A134,C8.A135,C8.A138,D8.A142,E2.A154,E2.A158,E2.A15A
ACTR3B,57180,-0.215526994,0.669310775,-0.06235243,0.300088523,0.087243634,-0.137323894,-0.437166648,-0.350401603,-0.000603674,0.025788478,-0.064056387,-0.014759701,-0.008877653,0.092872793,-0.376937081,0.498134068,-0.081268482,-0.429592689,0.198975668,-0.13107546,-0.453239073,-0.376626034,0.10408876,0.15153229,-0.543716597,0.138825522,-0.270236792,-0.550136518,0.112901077,0.757801906,-0.048210175,0.115222457,0.00140571,0.692477937,-0.313035285,0.111806014,0.075896496,-0.177934262,0.627041321,0.67302271,-0.369655809,0.013653852,0.55037702,0.74904005,-0.019564087,-0.458718131,0.057428513,-0.215758122,-0.269812774,-0.348533615,0.512939066,0.004191055,-0.333129623,-0.603741421,0.211274365,0.328550993,0.550075213,-0.128355507,0.015111297,0.533744783,-0.269902725,0.074026372,-0.334081877,-0.315451974,0.028189868,-0.203630892,-0.109204893,0.254438231,0.052926135,0.044844806,0.364244522,-0.239793456,-0.17373438,-0.446037994,0.430074834,0.707461009,-0.449116922
ANLN,54443,0.732422111,0.736708239,-0.113728961,-1.234506763,-0.548382298,-0.21630388,0.097269165,1.225957755,0.324544371,-1.151322314,-0.308840654,-0.974640979,-0.183954481,0.682026889,1.254978124,0.677632292,-0.474540288,0.206579271,-0.722817226,0.014971619,-0.317348043,0.444318162,-0.259314516,-0.578714702,-0.111915607,0.374249665,0.823488072,-0.030752502,-0.70073842,-0.005430462,-0.069575236,-0.761693812,-0.389722929,-0.764631976,-0.15845377,-0.285391963,0.668226412,0.028070957,-0.508699189,-0.733695047,0.52762127,0.086533758,0.59480958,-0.876699011,-0.204550972,-0.04276077,-1.473628961,0.02941677,-0.650808236,-0.050726359,-0.250709661,-0.860938566,0.026776124,-0.454511645,0.483499717,0.975535111,0.162014316,-0.244490838,0.119564033,-0.369174855,-0.668679498,-0.316034903,-0.196964933,0.997460764,-0.124275969,0.289040822,0.449334653,-0.752338168,0.173882099,0.453418495,0.826307217,-0.636951108,0.417706275,-0.459146575,-0.837926595,0.117872101,0.304871027
BAG1,573,-0.041051108,-0.693039076,-0.142620907,-0.083005052,-0.012297581,-0.002790059,0.095370604,-0.351226555,0.218034559,0.25417944,0.076087634,0.027653273,1.396400823,-0.35213353,-0.384364261,0.771314967,-0.199593133,0.912396438,-0.546954978,-0.563220756,0.06735106,0.023958838,0.25031206,0.381493577,-0.205829559,-0.152120558,-0.941273517,-0.319518719,0.201702567,-0.012881032,-0.468267604,-0.176554433,0.249024263,0.735209576,-0.107344801,0.349766189,-0.326960037,-0.137651237,0.628849564,1.303470414,-0.374830194,0.064416926,-0.177114006,0.082760044,-0.171991881,-0.398384886,-0.026820054,-0.436230931,-0.102364007,-0.374284163,-0.141257384,-0.531472788,-0.003313993,0.88727488,-0.778177291,0.287466557,-0.335435366,-0.011715037,0.965921392,0.003027422,0.203395954,-0.194714364,-0.10631299,-0.779605329,-0.18371897,-0.761563507,-0.516921446,0.308540017,-0.533465588,-0.381807145,-0.579373813,-0.281485714,0.039309622,-0.344899521,0.989667157,0.331488377,-0.049032522
BLVRA,644,-0.607871922,-0.576574999,-0.574350324,0.296455514,-0.180248725,-0.248066514,0.423686431,-0.391584056,-0.580939165,-0.278204273,0.230843561,0.349612267,0.517686928,-0.230799283,-0.089469584,-0.665681537,0.645419799,0.437097809,-0.219107613,0.460518175,-0.036207824,-0.29165371,-0.114356315,0.118439019,-0.295158334,0.144243044,-1.004742723,0.063863546,-0.194716474,-1.008519083,-0.624002611,-0.180302975,0.102208248,0.722008265,-0.394191687,0.512151812,-0.559924409,0.414850653,0.011842972,0.25603456,-0.159899048,1.034615049,-1.251847693,-0.211790996,-0.337645084,-0.462536687,0.29202545,-0.901217444,0.14866379,0.223548845,0.439327815,-0.296238811,-0.443783897,0.430399165,-0.151330322,-0.535678678,0.575488159,0.464417557,-0.083441946,-0.066480209,0.001971721,-0.463084358,0.107115156,-0.301384812,-0.14354576,0.274950169,-0.334534681,0.382098653,-0.421073011,-0.067269268,-0.620314809,0.174900214,-0.051757118,-0.435551397,0.544511749,-1.114479849,0.285330721
NUF2,83540,0.107979707,0.999991196,0.007239581,-1.515224932,-0.95550466,-0.517328555,-0.080465349,-0.082360924,0.457166759,-0.13003057,-0.196278375,-0.369969082,0.213527822,1.124032224,-0.521263349,0.462300665,-0.33245463,0.112907813,-0.414428323,0.45737427,-0.218530703,0.17419146,-0.01858646,-0.710938017,-0.075377138,-0.375328824,0.736409822,-0.332218857,1.028429053,-0.017449838,-0.047756894,2.314106801,-0.302607061,-0.629078243,-0.584638213,-0.12956488,0.494007668,0.37896493,-0.110954436,-0.629448627,0.128563118,0.116198478,0.647425455,-0.438981479,0.055632891,0.538669045,-0.785120985,-0.0458971,-0.198712587,-0.031348618,0.490079626,-0.436998281,0.177768706,-0.359921124,0.556340452,0.916959247,0.339402883,-0.276178424,0.353501784,-0.531174242,-0.513707751,-0.507389201,0.150134514,0.497984132,0.311352784,0.149726622,0.108012277,-0.77747395,0.093612469,0.302880731,0.254282578,-0.913516206,0.311536602,-0.594993729,-0.848010288,-0.269898037,-0.302407835
CENPF,1063,0.658174459,0.67328419,-0.027251354,-0.081602927,-0.575554418,-0.265903191,0.224980995,0.570393302,0.339575875,-0.682553594,-0.078584917,-0.142510893,-0.167145142,0.116629253,0.124298892,0.710912628,-0.235129721,0.203117396,-0.038375227,0.113650425,-0.412210676,0.627625676,-0.081380764,-0.314159972,-0.194722698,0.586345099,-0.264483304,-0.111056429,-0.166956845,-0.05941488,0.164466907,0.014563625,-0.380126701,-0.661114756,-0.197177587,-0.126003874,0.421226861,-0.083117672,-0.477632568,-0.48743292,0.122948344,-0.002090681,1.052309753,-0.742510859,-0.300607205,-0.085891836,0.291027448,0.307299492,-0.420239178,-0.111803799,0.465258921,-0.637507749,-0.221072624,-0.113937956,0.159247604,0.272961554,0.945809838,-0.225994047,0.229849873,0.116306988,-0.438734405,-0.088308709,-0.108876674,0.101287597,0.076465017,-0.023747773,0.122954004,-0.010927973,0.076049939,0.174045138,0.663381234,-0.133886504,-0.067141533,-0.028813475,-0.514651286,-0.382371394,0.005299111
EGFR,1956,-0.036276014,-0.222287705,1.959576356,-0.450632422,-0.282262454,-0.619387406,-1.14932942,-0.358988161,-0.583137959,-0.698862742,-1.054232773,-0.616571753,-0.267224237,-0.145444725,-0.318533537,-0.271760596,-1.353996951,-0.761300284,-1.058185113,-0.031317786,-1.261366905,-1.325369473,-0.998696502,-1.001455273,-0.76923803,-1.039003728,0.956158573,-0.971499083,-0.912801346,0.893215496,-1.682716169,-0.16949728,-0.674971001,-1.159262319,-0.747827045,-0.348828364,-0.767235185,-0.711715258,-1.09813759,-1.189533248,-0.037357406,-0.612203692,-0.257329439,-1.692865931,-1.047035959,-1.264038516,-0.152784479,1.419650867,-0.867452765,-1.04544826,-0.589562265,-1.267887471,-0.09521539,-1.155455951,-0.165072105,-0.639622448,-1.106763427,-0.652652277,-0.16283632,0.057396556,-0.342787369,-0.462619927,-0.479212888,0.527540552,-0.97346376,-1.079246526,0.51848822,-0.773772832,-0.791202636,0.351654874,0.409426504,-0.694105693,-0.762610075,-0.034919101,-0.619032795,0.017080092,-1.038442054
ERBB2,2064,-1.021099904,-1.375720027,-0.667620227,-1.210535229,-0.398362111,1.390486393,-1.636247467,-1.607511628,-1.030155098,-1.31045059,-0.613494295,-1.140885866,-0.730715173,1.687397371,-1.296177967,-0.865087081,-1.452875864,-0.457300675,-0.58216498,-0.759539895,1.101264934,-0.863642583,-1.139891799,0.554567352,-0.31564988,-1.03576609,-0.748355536,-1.180686815,-1.23995426,-0.603767376,-0.975359197,-1.088292214,-0.976366414,-0.680845677,0.869141488,-0.44487809,-0.887000396,1.297148032,-0.084739932,-0.991420906,2.399391294,-0.73958589,-0.577761804,-0.644776665,-1.284664305,-0.699556214,0.565617725,-1.377419775,-1.099230117,-0.982021785,-0.548264503,-0.559822428,-0.407658527,-1.295929377,-1.052654375,-1.330433225,0.118879523,-1.333625222,-0.846344461,-0.660240699,-0.507655024,-1.419355386,1.098962083,0.066770257,-0.081724655,-1.063958032,-0.823702618,2.252323594,-0.895120563,-0.563551099,-1.23464279,1.058587276,0.023081213,-1.040383266,-1.167086907,-1.142009078,-0.981571241
ESR1,2099,-1.114360404,-1.350243766,-1.474561546,0.368140194,-0.629604448,-1.018356655,-0.366934297,-1.504605928,-0.091028534,-0.804151319,0.339947398,-0.199326415,0.678119889,0.252764243,-1.103709573,-1.417056444,0.370549636,-0.425773404,1.483460497,0.708414791,-0.80241182,1.127664206,0.014832129,-2.288876348,-0.138317529,-0.261183449,-1.795936952,0.542179518,0.593301207,-2.119383999,0.212768934,-0.154151794,0.327117448,1.062696628,-1.318993413,0.33186912,-1.490816712,-0.826903969,-0.208232619,1.509995078,-0.941553297,-0.192169234,-1.179739669,1.194388406,-0.378830049,1.405469491,-0.58967758,-1.654171257,-0.101179614,0.217831425,0.835061584,-0.218809655,-0.881028216,-0.218129604,-2.057333608,0.355720761,0.26726175,-0.833244889,-0.59631853,0.061465215,0.819745646,-1.597537868,-0.586130696,-1.143352457,-0.397841143,-0.709096125,-1.212367886,-0.921825938,-0.541717355,-1.147753898,-1.933880595,-0.503422125,-0.997648519,-1.471211116,0.408365946,-1.29412816,-0.285846079
FOXA1,3169,-0.998053763,-1.840333661,0.082114536,-0.499855709,-0.153357776,-0.194380438,0.093886268,-1.65678453,-0.352268967,0.524702021,0.305449299,-0.184505427,0.119290752,0.306075648,-1.538714994,-1.050974659,0.393175039,-0.023801687,0.47264136,0.599986251,-0.013638381,0.542543415,0.381809659,0.546726881,0.275150362,0.839515757,-1.11151105,-0.291357659,0.409087404,-0.842692472,0.444431648,-0.077049092,0.277118702,0.145107409,-0.464184894,0.31641475,-1.527081423,0.0028618,0.54233161,0.922987139,-0.05109765,0.054328178,-1.328480388,0.904016028,-0.095702548,0.061017231,0.00943241,-0.762223588,0.019874018,0.085083353,0.86716702,-0.104817052,-0.596351914,0.346388345,-2.27936912,0.591302866,0.393411021,0.047373368,-0.044718205,0.028375981,0.205691748,-1.264357029,-0.085753681,-0.487569916,0.007148541,-0.195383449,-1.214339103,-0.08609724,0.267707819,-0.329809457,-1.089305415,-0.176115504,0.137948392,-0.807968045,0.242001001,-1.400580867,-0.125933815
