GeneSym,EntrezID,A2.A0CM,A2.A0D2,A2.A0EQ,A2.A0EV,A2.A0EX,A2.A0EY,A2.A0SW,A2.A0SX,A2.A0T3,A2.A0T6,A2.A0YC,A2.A0YD,A2.A0YF,A2.A0YG,A2.A0YM,A7.A0CE,A7.A0CJ,A7.A13F,A8.A06N,A8.A06Z,A8.A076,A8.A079,A8.A08Z,A8.A09G,AN.A04A,AN.A0AJ,AN.A0AL,AN.A0AM,AN.A0FK,AN.A0FL,AO.A03O,AO.A0J6,AO.A0J9,AO.A0JC,AO.A0JE,AO.A0JJ,AO.A0JL,AO.A0JM,AO.A126,AO.A12B,AO.A12D,AO.A12E,AO.A12F,AR.A0TR,AR.A0TT,AR.A0TV,AR.A0TX,AR.A0U4,AR.A1AP,AR.A1AS,AR.A1AV,AR.A1AW,BH.A0AV,BH.A0BV,BH.A0C1,BH.A0C7,BH.A0DD,BH.A0DG,BH.A0E1,BH.A0E9,BH.A18N,BH.A18Q,BH.A18U,C8.A12L,C8.A12T,C8.A12U,C8.A12V,C8.A12Z,C8.A130,C8.A131,C8.A134,C8.A135,C8.A138,D8.A142,E2.A154,E2.A158,E2.A15A
ACTR3B,57180,3.623064,6.508162,3.997661,1.601128,1.617176,1.588793,1.612998,4.336248,1.786189,1.024748,1.095481,0.974361,0.7571026,2.000643,2.336063,18.7999,2.572488,0.8890145,1.575261,1.693358,0.9008575,0.9324915,1.448055,1.616005,1.097459,0.9461552,1.741677,1.31844,1.685553,5.556529,2.704981,2.190664,0.9794254,1.016302,0.5579502,1.308787,8.04607,0.7468394,1.478025,1.750538,0.8352201,1.420588,22.07547,2.155516,1.27053,1.091301,1.497235,2.396375,1.111811,1.309824,1.317509,2.260221,0.9282176,1.14875,2.028045,1.761191,1.944654,1.090653,1.296703,2.706886,0.9158432,4.936596,1.242719,1.226272,0.8586746,1.780154,2.591546,1.114113,2.14856,1.161695,9.05296,0.9528027,0.6984474,2.772068,1.966957,26.4768,0.6109397
ANLN,54443,16.3438,12.46691,9.348549,5.734429,1.535286,5.07526,10.12807,7.826529,12.31787,1.514284,3.608927,3.53588,8.058607,22.80141,33.51909,13.17424,4.415198,16.50081,2.800396,4.469279,7.474262,12.38763,6.817057,8.725089,3.641113,25.05609,18.5574,7.805472,5.238746,4.228612,7.135048,16.71698,2.206943,2.681048,10.12977,4.819173,13.27293,14.43389,1.891134,3.811964,13.83207,7.83211,12.38643,2.050195,5.883162,6.752661,6.299355,7.828281,4.161649,6.748123,4.042779,4.570584,26.31008,3.127363,10.32089,13.87855,26.61536,4.544535,13.00529,3.481402,2.430974,12.94051,12.8751,28.70027,12.34338,9.511947,13.088,10.70212,10.2109,11.5395,32.87894,15.55265,14.04932,9.86842,6.747563,12.18441,14.65611
BAG1,573,15.82205197,5.995710593,12.71706306,9.087841503,10.95065475,13.7592496,8.939879584,8.244394994,14.51860658,8.931168621,12.06600251,8.567651008,74.18062054,4.434956746,6.23503369,28.36468253,10.98529674,36.06508643,4.995716231,7.081971907,11.77075191,10.04175033,7.861423498,9.050458034,8.282669435,5.261583532,5.912841971,6.128779757,16.56259067,13.8296927,7.952689687,6.716261608,8.711199973,6.820801614,6.27037427,15.98613637,5.427755771,8.840838257,13.7586513,38.91399808,6.994376924,9.693540416,10.18402555,11.24560492,12.92932781,7.837421955,5.384610525,3.892484879,7.700921872,8.976712028,14.6547676,5.341107354,7.451110334,14.59668622,8.089461449,10.88183925,8.129260244,7.624191806,61.58147205,16.44814807,10.38140962,6.702393487,5.495475729,3.562552721,7.421716283,4.213705522,5.880848246,4.937315933,4.347475731,6.435948413,8.591508136,6.169063144,13.17268354,6.967117593,26.3893701,14.05757222,8.046883162
BCL2,596,1.725431877,3.398489405,15.28365832,13.00717223,14.81874317,2.775992691,4.151690507,6.821901172,25.97305133,10.68763743,25.30575531,15.6008415,33.93148263,2.789005178,3.286550485,1.61245106,36.87591811,10.81774056,16.17689381,15.32574396,5.047131337,13.00231762,7.86850339,1.465562027,55.74809154,3.045698996,1.623075091,4.855328447,20.08048786,0.272468779,5.522736672,1.824521302,7.139248847,17.23930625,2.526479202,13.99246973,1.688499612,12.71390257,25.53781061,11.01907684,2.394575678,6.263120653,1.539951958,33.57165763,8.477918776,34.8925562,5.491920662,5.436839439,5.059040651,5.424387357,20.61474262,12.12915989,1.105408962,18.03925479,6.721477495,15.54914705,34.09353494,7.684753089,20.10037882,24.84976797,23.94689331,31.79833703,6.202351948,1.012660182,5.677725621,14.51844803,6.46414854,0.561008224,5.949570879,0.528848842,2.344274738,1.727844919,2.357597749,1.707085521,7.606467215,10.05346655,8.264471437
BIRC5,332,31.48275555,50.97075401,30.79008082,14.42603134,2.980821435,8.509474059,23.12911483,8.697735117,43.60024409,0.961215276,7.645993074,2.535750763,7.165935481,36.1496812,36.45830445,21.7809094,20.78951845,20.14950475,6.212728661,11.60854722,10.5069633,46.33462026,4.748610627,11.3169504,5.845816727,27.15725913,34.99292514,217.6718035,6.544986803,17.85640847,12.22224821,41.82742341,3.690445416,5.561456362,8.298936395,6.940876328,7.829687292,7.781928391,7.444015118,5.877077093,5.544393703,9.854705704,21.83411153,2.41488268,10.58861213,17.48458028,11.18823058,22.94653664,7.341023819,7.45145284,3.671270947,7.970338468,20.54948193,4.967477599,4.2304644,23.34151219,17.25751873,19.68340524,12.59233229,2.391929707,4.149804741,19.15214449,20.12931311,26.87750385,18.47437045,39.71923214,21.51685135,6.915726309,24.76582914,15.59463208,50.60728254,32.45866006,6.540016595,10.96795987,6.863306957,8.317543557,15.32654661
BLVRA,644,19.85229006,16.11831994,17.58865642,70.44087346,29.49640941,34.78646691,89.56143721,17.05777616,36.94526849,20.19191206,48.66419319,35.59225951,95.01911817,36.68938373,6.869213512,10.51968516,90.99048475,77.92449193,27.59829222,65.11736481,51.67767767,12.48667178,24.55561607,31.13133147,39.64694253,29.1453126,15.6443265,83.39306339,11.17048091,8.361816686,33.71985635,26.35650952,54.32775218,42.39429553,28.97715756,61.21170538,20.25102968,83.86078199,37.78844704,51.03849919,30.66895156,97.31601828,6.205640789,30.27811072,31.49391925,42.72583379,30.04913767,10.92443345,38.26710765,61.38408035,85.00076951,26.76464599,6.783543931,66.83551855,30.98461077,22.92037799,47.70700457,52.80929057,36.45129094,22.04498964,41.86033441,8.45533412,21.08548312,19.61374777,22.13226252,117.8921183,26.10824408,24.72859971,25.56640343,46.31500784,19.53629053,51.31486565,54.29709764,8.855795032,50.84872648,7.210753535,78.92974841
CCNB1,891,53.01894482,58.66276089,25.86050063,18.1762233,7.513056717,13.34859171,27.86145656,16.77377177,35.69649965,6.92977655,13.17008083,6.373849715,20.41008442,41.61151597,37.49631261,47.92586736,50.86755635,33.42635434,13.2702381,26.69279147,16.82189799,66.65046937,12.6242986,31.4018561,12.47869512,99.36961881,26.18322622,37.0132998,22.12006317,9.181325393,36.18507999,27.22192273,16.63749607,14.25812691,20.64880722,13.91427926,28.96680759,28.08086923,16.18718277,25.08409321,16.74237138,27.98140467,25.09920273,11.31447383,12.30247982,18.16474098,20.35483389,23.42957307,20.74609132,16.38260164,10.80686694,14.73417939,22.34991462,15.63367187,22.33396121,35.59726608,49.52972803,18.16419203,41.16666036,10.74305094,15.68018228,35.61503875,52.60886153,26.79669287,44.49441391,48.31632032,22.70220935,34.92500943,26.37590222,22.38270195,37.96269178,35.27947019,25.44535257,12.10034164,16.85862845,12.53235176,21.90483823
CCNE1,898,37.62594307,9.393289565,1.801603091,0.76295146,0.557442832,1.325854384,1.730554725,11.49671256,4.366590119,0.538576,0.500184643,0.59675897,0.622329454,3.857249093,46.98195027,12.21819892,0.813240436,2.935946307,0.570202492,1.051144912,1.359647185,1.35336141,0.881782962,2.199957491,1.196149535,2.755079983,3.292993044,4.093183043,0.751171036,1.496552983,4.186336636,9.546385812,0.99238971,1.487749156,6.74745293,0.709258503,11.47854139,1.973621827,1.453758755,0.31930496,2.36770157,1.216589296,5.26882894,0.395929194,2.052756815,1.079806128,1.924176849,3.501020556,1.647830341,1.770608576,0.981994083,2.26702467,4.161802347,0.629064276,1.311209324,7.453082146,1.724459094,1.032087899,1.677505555,1.387447059,0.544245782,5.862854926,1.609923051,5.065876444,1.010662373,2.487211662,7.519679245,1.30020364,4.253496402,3.266310977,13.77995246,2.539817446,0.577492786,2.741058131,1.145100006,9.561293538,2.940632318
CDC20,991,84.83620389,93.9907864,26.39611734,15.67041588,3.37583878,13.43662426,31.23951589,29.56532983,25.08042571,2.424580956,8.727808,5.912492488,7.760578285,20.39245692,216.0235893,39.77571595,24.65241634,22.29147145,7.365190907,18.43971191,31.11967536,76.88302957,10.86095608,16.32696617,6.181530014,35.47829702,61.51820545,25.57951307,5.813980445,23.75594005,18.74840827,69.18042277,8.390080646,12.47902124,19.41454634,10.0720492,31.80514538,32.92597748,12.87904049,8.214580369,11.93900156,11.65537205,53.89985612,5.009015886,15.36985303,21.11066016,17.39068532,38.42504086,10.90561065,16.4436729,5.081391848,12.1860187,32.15403698,10.45198255,6.601918406,21.422423,42.3252323,13.72203055,28.6550902,3.557962718,5.573905255,43.05772514,24.14094623,21.26959409,41.44374127,42.09478236,60.19858599,15.00645418,28.18326279,39.69137476,64.33157382,28.2394304,23.52495759,12.99300499,8.158555443,22.59234754,16.88459781
CDC6,990,6.069610339,8.356785602,10.16317482,5.152346986,1.247496088,3.061864048,3.528518823,3.783783037,14.9091991,0.644319689,3.414505626,1.000822451,3.596973949,75.45496891,7.555613113,8.737226713,4.38539039,13.08899477,5.795054613,6.992269751,38.31486313,7.971732616,2.117979356,5.212545765,3.011943212,9.650495523,7.997539877,5.934768111,3.691522136,1.791073423,7.653445801,7.073781364,1.76949322,2.089610476,3.404765581,3.66962194,5.988883411,33.62405166,1.677574833,8.257863284,43.18720035,5.448131569,9.02210097,0.676475701,2.614983956,9.566011976,28.01487799,5.132318606,1.803866465,4.452038401,2.602895466,3.847801304,5.368592611,2.240484308,2.696944921,16.60703004,59.5740665,1.70849645,5.855599809,2.00462382,2.857841531,4.883819515,13.09320231,10.08851384,4.537354948,5.704760506,4.401642037,38.11591297,11.78340278,5.609029027,5.069803798,8.430462768,6.076967541,5.432745935,6.20746159,2.546395676,8.335185943
