Omics,GeneSym,GeneSym_Revised,EntrezID,A2.A0CM,A2.A0D2,A2.A0EQ,A2.A0EV,A2.A0EX,A2.A0EY,A2.A0SW,A2.A0SX,A2.A0T3,A2.A0T6,A2.A0YC,A2.A0YD,A2.A0YF,A2.A0YG,A2.A0YM,A7.A0CE,A7.A0CJ,A7.A13F,A8.A06N,A8.A06Z,A8.A076,A8.A079,A8.A08Z,A8.A09G,AN.A04A,AN.A0AJ,AN.A0AL,AN.A0AM,AN.A0FK,AN.A0FL,AO.A03O,AO.A0J6,AO.A0J9,AO.A0JC,AO.A0JE,AO.A0JJ,AO.A0JL,AO.A0JM,AO.A126,AO.A12B,AO.A12D,AO.A12E,AO.A12F,AR.A0TR,AR.A0TT,AR.A0TV,AR.A0TX,AR.A0U4,AR.A1AP,AR.A1AS,AR.A1AV,AR.A1AW,BH.A0AV,BH.A0BV,BH.A0C1,BH.A0C7,BH.A0DD,BH.A0DG,BH.A0E1,BH.A0E9,BH.A18N,BH.A18Q,BH.A18U,C8.A12L,C8.A12T,C8.A12U,C8.A12V,C8.A12Z,C8.A130,C8.A131,C8.A134,C8.A135,C8.A138,D8.A142,E2.A154,E2.A158,E2.A15A
RNA,ACTR3B,ACTR3B_R,109134.6034,1.881424707,3.34215154,2.120880287,0.025161533,0.046113077,0.008948455,0.040673799,2.320741358,0.257598153,-0.857767162,-0.732902107,-0.950300454,-1.389265991,0.504490525,0.85108323,6.131615941,1.071566302,-1.114498114,-0.008948455,0.143454437,-1.091119921,-1.029630135,-0.18312879,0.044589652,-0.729490441,-1.003489622,0.203456885,-0.372720912,0.133638356,2.940294952,1.18781919,0.706164498,-0.940858101,-0.873062516,-1.864196744,-0.387377048,3.888454983,-1.411839125,-0.141088382,0.214319982,-1.223260798,-0.222230052,6.563281347,0.66995736,-0.446242188,-0.74012573,-0.114475243,0.909027605,-0.704861828,-0.385798827,-0.374131053,0.776443938,-1.0378579,-0.642467907,0.534500302,0.227323493,0.442137176,-0.741247263,-0.405834805,1.189455409,-1.061819671,2.642950911,-0.489838288,-0.515948937,-1.175310928,0.250319687,1.088593554,-0.700931922,0.662734969,-0.620932713,4.195149677,-0.990861229,-1.520840347,1.24486288,0.467144845,7.053734233,-1.729620116
RNA,ANLN,ANLN_R,63991.18301,0.96552463,0.521929998,0.055450872,-0.719938916,-2.618320573,-0.909442968,0.184628729,-0.229238298,0.502325631,-2.635910507,-1.426966877,-1.457385658,-0.182619043,1.515869704,2.157579761,0.611999915,-1.123127437,0.981259005,-1.798553039,-1.104570601,-0.30254429,0.511529916,-0.448402912,-0.055450872,-1.413734992,1.672498218,1.174911777,-0.233532286,-0.860430907,-1.188756043,-0.376261182,1.00268583,-2.134701821,-1.861012903,0.184899959,-0.989182096,0.624195033,0.761434077,-2.345071494,-1.345175053,0.69167935,-0.228102029,0.511372007,-2.235857426,-0.67995737,-0.463393517,-0.572842599,-0.228881516,-1.212942551,-0.464454923,-1.256745987,-1.070346945,1.753731662,-1.638360419,0.215119338,0.69717011,1.772932398,-1.079081274,0.590917012,-1.480432385,-1.999859335,0.582763226,0.574490171,1.898554332,0.505697273,0.083355422,0.601270965,0.273836135,0.197793853,0.396087238,2.125364906,0.88394117,0.71719217,0.142684487,-0.464585949,0.484576191,0.786482329
RNA,BAG1,BAG1_R,959.5806776,1.424888866,-0.813609496,0.912239837,0.132332901,0.56369678,1.0966334,0.094547653,-0.091384187,1.222686771,0.092304698,0.789515837,-0.003191854,5.119467425,-1.481236873,-0.725707638,2.809961958,0.571035777,3.3844827,-1.21975983,-0.437929869,0.731750575,0.362767479,-0.20018835,0.122841569,-0.080773324,-1.104980998,-0.844803338,-0.764342032,1.532689822,1.108606086,-0.173813466,-0.558036253,0.034968328,-0.523092973,-0.712992611,1.449190698,-1.03590167,0.068922962,1.096531458,3.566762658,-0.46616165,0.281161463,0.395337837,0.625484822,0.950947684,-0.207172335,-1.053649624,-1.764151497,-0.247277574,0.104008685,1.244613922,-1.071677054,-0.322434722,1.235284784,-0.134816421,0.549051942,-0.123585377,-0.270115828,4.670557767,1.516339601,0.439812877,-0.562709764,-1.008303663,-1.953857043,-0.33143293,-1.592677887,-0.856954568,-1.245715301,-1.524690784,-0.654291945,0.003191854,-0.749622417,0.994579377,-0.475014662,2.637738817,1.146937798,-0.146889589
RNA,BCL2,BCL2_R,393.2873575,-1.208442556,-0.672034756,0.665914059,0.516891339,0.637308229,-0.838484195,-0.50302751,-0.068994136,1.160715306,0.336622884,1.136288938,0.684950568,1.412199444,-0.834691319,-0.699909323,-1.25829283,1.490708336,0.347685267,0.718583919,0.66846183,-0.334586049,0.516547401,0.058836602,-1.32724868,1.881788187,-0.762789074,-1.253493006,-0.368254094,0.919813361,-2.220826343,-0.255880464,-1.166762193,-0.028398633,0.777673467,-0.914281297,0.584256709,-1.224454089,0.495888738,1.144854226,0.364556241,-0.956916821,-0.144948751,-1.291706155,1.402148027,0.126091623,1.438539793,-0.260788508,-0.269624469,-0.332534108,-0.271633353,0.944333799,0.452583804,-1.520900816,0.81987467,-0.082207705,0.681873721,1.416691983,0.037594138,0.920737639,1.119231485,1.08453246,1.35100796,-0.153584574,-1.577837614,-0.231570168,0.618366067,-0.116923749,-1.917160106,-0.190367919,-1.946608922,-0.973689589,-1.207405678,-0.969218348,-1.216362904,0.028398633,0.280789962,0.103069678
RNA,BIRC5,BIRC5_R,292.1691846,1.262241751,1.872930189,1.234139621,0.284135204,-1.584364461,-0.363790259,0.87371852,-0.337247722,1.674574582,-2.698401128,-0.493098801,-1.759953034,-0.57105521,1.437058087,1.447820659,0.798316449,0.739899627,0.70072413,-0.741473366,0.015643112,-0.106777072,1.751783705,-1.057256775,-0.015643112,-0.813615867,1.075744998,1.395896035,3.726581118,-0.67946881,0.549645602,0.079097912,1.621914349,-1.346234303,-0.872456674,-0.394138583,-0.609299432,-0.46447812,-0.471858071,-0.525322868,-0.807308925,-0.876074615,-0.185179375,0.801377411,-1.812098675,-0.097291654,0.523381016,-0.02970022,0.863762986,-0.542071174,-0.524121775,-1.35212055,-0.442987279,0.725346671,-1.004822631,-1.190658865,0.885203675,0.507073822,0.671422147,0.115900209,-1.822245104,-1.212731878,0.637186976,0.699468522,1.062696673,0.592141226,1.556342895,0.783014998,-0.613644825,0.959675481,0.380880639,1.863834668,1.30081872,-0.6803746,-0.05411836,-0.622749349,-0.391427324,0.359322345
RNA,BLVRA,BLVRA_R,712.6183666,-0.718614068,-1.044715272,-0.908315111,1.290325141,-0.09455304,0.166764953,1.674277928,-0.956240708,0.262301882,-0.691987891,0.700377399,0.203091811,1.768935604,0.251269723,-2.353051791,-1.705681243,1.699606442,1.451679404,-0.199724044,1.164821849,0.796088654,-1.441437459,-0.384119609,-0.009168816,0.374386324,-0.113495512,-1.091271584,1.560128943,-1.613364371,-2.05630781,0.117382737,-0.272446545,0.875795568,0.480882519,-0.122647457,1.066089839,-0.687397797,1.569073846,0.29812828,0.776258044,-0.032860729,1.807165812,-2.504869214,-0.053162779,0.009168816,0.493270087,-0.065176784,-1.647646981,0.318116965,1.070577559,1.590669505,-0.248180361,-2.371865185,1.206407486,-0.016648927,-0.492705649,0.668744724,0.830608643,0.240936254,-0.553993931,0.460728937,-2.039418449,-0.623967289,-0.737582641,-0.547777875,2.114324105,-0.287388476,-0.373050059,-0.320489405,0.621603596,-0.743790352,0.784862367,0.874895779,-1.969035222,0.770322949,-2.28016138,1.472171266
RNA,CCNB1,CCNB1_R,1078.640937,1.479345141,1.655339408,0.236198279,-0.368752854,-1.854167617,-0.893747676,0.364633783,-0.505785804,0.792840193,-1.986837516,-0.916522699,-2.123360518,-0.170422897,1.058541241,0.878025811,1.303798556,1.4073214,0.679139951,-0.903707931,0.290766454,-0.500901802,1.877654426,-0.988046616,0.571131471,-1.007630619,2.5744398,0.257559214,0.85556746,-0.032435432,-1.522167727,0.816376604,0.324596583,-0.519689669,-0.782083621,-0.150495239,-0.823467333,0.431750158,0.378162113,-0.566433282,0.183717872,-0.508979756,0.372042341,0.184754297,-1.172613366,-1.031627964,-0.369832446,-0.175067415,0.06635676,-0.142438774,-0.545995283,-1.249703678,-0.726352604,-0.014687746,-0.625648454,-0.015913791,0.788021008,1.360996468,-0.369884076,1.039898585,-1.259639443,-0.620595129,0.788885094,1.465842483,0.297461056,1.174781272,1.317895723,0.012170675,0.755020388,0.270189451,-0.012170675,0.899441468,0.772497914,0.208332103,-1.059565692,-0.4971834,-1.000388231,-0.049218009
RNA,CCNE1,CCNE1_R,888.056763,4.042524763,2.115312623,0.032081352,-0.825288674,-1.079001798,-0.298718076,-0.012712654,2.390708931,1.101786086,-1.104720602,-1.158529465,-1.026850161,-0.993925689,0.94385261,4.356033817,2.474139985,-0.76950784,0.604494981,-1.061866947,-0.53165516,-0.272519662,-0.277356578,-0.696825905,0.260126156,-0.403986489,0.527243638,0.745728982,1.019185097,-0.838676588,-0.171039748,1.047868056,2.13725028,-0.586819355,-0.17735303,1.670728368,-0.887352068,2.388543447,0.135050029,-0.201992984,-1.443508104,0.346233714,-0.386874,1.344753061,-1.315785686,0.180036764,-0.505499498,0.106204981,0.822006759,-0.066701808,0.012712654,-0.596805335,0.29517869,1.040369381,-0.985378738,-0.310222844,1.803457171,-0.016622009,-0.549315103,-0.0470991,-0.25132183,-1.096942913,1.484765639,-0.092140159,1.293588903,-0.569434159,0.404562065,1.81536995,-0.318930003,1.068195718,0.73564401,2.639602203,0.429500918,-1.052168341,0.521076466,-0.447643287,2.139368567,0.606441982
RNA,CDC20,CDC20_R,953.8279702,1.939186762,2.081320386,0.328743368,-0.380921708,-2.373263693,-0.588275025,0.559692759,0.484109603,0.258788573,-2.766050614,-1.16334344,-1.671008566,-1.317783821,-0.023570863,3.237872964,0.89191159,0.235253695,0.097773042,-1.386194985,-0.16043745,0.554416426,1.802733045,-0.873282302,-0.325410153,-1.613684304,0.73453397,1.494011784,0.285739504,-1.692602288,0.184633521,-0.137887258,1.656492385,-1.215348611,-0.687564134,-0.090433757,-0.973663544,0.584330335,0.63190209,-0.645225355,-1.243158682,-0.746839023,-0.779010609,1.311202111,-1.882823604,-0.407090849,0.023570863,-0.239913294,0.844334132,-0.867810801,-0.315769733,-1.864618609,-0.719412407,0.599313091,-0.924418053,-1.528577337,0.043548767,0.977521827,-0.55999993,0.44122948,-2.309216578,-1.746670503,1.001176846,0.206598614,0.033791173,0.948512732,0.969995977,1.46401332,-0.439400979,0.418472509,0.888987712,1.555891125,0.421201111,0.171287723,-0.633394693,-1.252154531,0.116065493,-0.279937477
RNA,CDC6,CDC6_R,1177.526343,0.173200594,0.687146058,1.006480569,-0.085525227,-2.10512521,-0.880000991,-0.668189653,-0.562489819,1.639891716,-2.833513461,-0.717582965,-2.366925507,-0.639200492,4.384293563,0.524023096,0.759503911,-0.33640239,1.42362502,0.099754775,0.399295894,3.229298974,0.610674549,-1.40969166,-0.067299054,-0.904284136,0.92170825,0.615907518,0.137520911,-0.599948165,-1.63916773,0.544791377,0.417912195,-1.655449779,-1.428436374,-0.721869082,-0.608960813,0.151929003,3.007705178,-1.726580888,0.667822195,3.432744102,0.002227954,0.811760183,-2.785835001,-1.110642976,0.907328953,2.698754928,-0.09163221,-1.629587759,-0.313090293,-1.117332564,-0.536969244,-0.020933107,-1.331012786,-1.065960372,1.819720215,3.980743412,-1.702322451,0.116222709,-1.485845537,-0.981482164,-0.169263751,1.424157634,0.994392105,-0.283702037,0.074898705,-0.330688711,3.220457988,1.249841356,0.048147651,-0.11083464,0.701398712,0.175126207,-0.002227954,0.208927311,-1.148948286,0.682945181
