,LF1,LF2,LF3,LF4,LF5,LF6,LF7,LF8,LF9,LF10
A1BG,0.106217895240981,-0.974903421761302,-0.00358036625688395,0.20598091971524,-0.0171314952639017,0.0087605258170614,0.00144741837776269,0.00449215195786595,-0.0402267620712822,-0.000634074161736992
A2M,0.315810699975439,-0.773322933973997,0.00685942688799768,0.326698282935738,-0.0136260971339735,0.0448833233930545,0.00224373701933126,0.00742419602478893,-0.141738031072515,-0.000594628670232059
AAAS,0.0068965182767116,-0.0319336548954251,-0.00500684285830793,-0.321729951687579,0.00555594153202947,0.00479965180913401,0.00288690194719198,0.0360417929456845,0.290528465166407,-0.00194955515178499
AACS,-0.0318626702974704,0.176925289868389,0.000133230448145143,0.0440490833585708,-0.164906072933191,0.224169014437922,-0.00251022268731909,-0.0301327719720984,0.271635623693688,-0.00103915874348229
AAGAB,-0.238028718040302,0.00983540158033965,-0.000457099425542029,-0.105325345137522,0.170607251430129,0.00203861609743613,0.00236685652804803,0.00829270752895468,0.00859767465713468,-0.00141862777353266
AAK1,-0.00279252130287001,-0.119151736581798,0.000738957044856056,-0.0890036711241597,0.0040352330428744,-0.00824464128467313,0.000604495981857855,0.037347711638075,0.0159462872106334,-0.000576985802881647
AAMDC,-0.0136985192791272,0.113955165284669,0.00465169498329212,0.235966009360636,-0.0366784750279077,-0.0926077427978099,0.00087231422678809,-0.014432937727729,-0.123627938360691,0.000108467087994305
AAMP,-0.0399585162935286,0.0243822420022442,-0.0042500892871924,-0.0636140664076219,0.00666760863680614,0.0755184298593013,0.00298780401155434,-0.0314428941688313,0.0684462380845183,-0.000690370996915348
AAR2,-0.0432848730320969,-0.0521998297774528,-0.000566196009361948,-0.254287721359149,0.063795442027336,0.0103568637303313,0.0110231700625304,-0.00598551666258103,0.0214893999979803,-4.15301901711448e-05
AARS,0.188724171047598,0.198777065618808,-0.0364855207110578,-0.150961165957477,0.0359232210785485,0.098118683169918,0.00232629174707131,-0.0136697510660677,-0.031210727123351,-0.00244016427157514
