,LF1,LF2,LF3,LF4,LF5,LF6,LF7,LF8,LF9,LF10
A1BG,0.0127298295713067,0.000308131835262411,0.000796138576242662,0.000347498683285106,0.00734233165716652,0.022389119848015,0.00358800726465985,0.0124310882453393,0.000749814581365888,0.0934137803829364
A2M,0.285519942301019,2.26359435864022e-05,0.00530089923369947,0.000112748721312065,0.141401519054543,0.0742797238273491,0.410599995978875,0.0238093695342706,0.000149569093027501,0.0175860265731424
NAT1,0.877780444087765,6.81588726102797e-06,0.0279964242604424,2.42311189948431e-07,0.138155907226175,0.0145500906009894,0.0849430719905883,0.181720311931967,0.000118725021485163,0.00144766627690046
SERPINA3,0.13263665630169,5.61879230754185e-06,0.0307437975561966,0.000123027818390392,0.0228743656157588,0.203542869048942,0.0205062316011924,0.0552267620416712,3.5084479060942e-05,0.169615420310082
AAMP,0.0631479847488894,9.88954496410031e-05,0.000451015072415609,8.86332442426743e-05,0.052005109269617,0.00622658303815978,0.126852285282352,0.0609143741993081,0.000600476660721492,0.0266793015169249
AARS,0.146666959635503,0.000181510215877381,0.00119127223919493,0.000128548733579937,0.0048428598819877,0.0364040555425072,0.309464482772931,0.029068465913362,3.36659805483641e-05,0.126554625597903
ABAT,0.769155660154711,2.40259866547777e-05,0.0205801038739259,0.000101923749692906,0.0153182980372587,0.0176288312520993,0.224985461305844,0.269938368783499,2.61159451398889e-06,0.0540890074904401
ABCA1,0.0084595285900381,8.30656233354985e-05,0.171190690107683,0.000283543338518396,0.00279073302918865,0.0295629811478513,0.162036830674736,0.253819616268851,1.99945302900475e-05,0.0134803654281617
ABCA2,0.217991645617699,8.25398300980386e-07,0.0457373998617564,0.000127180589650249,0.00453330964183355,0.00143625411090382,0.0168479602558286,0.132217684591071,8.27093443173367e-05,0.101085992487143
ABCA3,0.361665540886737,2.22562284088443e-05,0.19734527788282,2.5559821992532e-05,0.00567204567754445,0.151802535542248,0.0251941188955566,0.175188454818577,9.94883257954152e-05,0.0470604126203199
ABCB7,0.06175972130624,0.000159638517768079,0.000936448163440783,0.000286821316840843,0.00359432276627981,0.111221406831711,0.0234994777954961,0.251385755867255,0.000204507542057673,0.119019510492882
ABCA4,0.0731181215797677,2.77554483708831e-05,0.0181934314670517,0.00012063589131054,0.0172279929735146,0.00458773312810933,0.048060053394313,0.0982530436531546,6.64660250869791e-05,0.0574086336021162
